,case_id,st_cd,naics_code_description,case_violtn_cnt,findings_start_date,findings_end_date,h2a_violtn_cnt,h2a_bw_atp_amt,h2a_ee_atp_cnt,h2a_cmp_assd_amt,ld_dt,start_year,end_year,start_month_int,end_month_int,start_quarter,end_quarter,ld_dt_object,ld_dt_year,ld_dt_month,ld_dt_quarter,total_employment
72,1802853,FL,Sugarcane Farming,3,10/1/2015,10/2/2016,2,0.0,0,0.0,2017-03-14 01:00:03 EDT,2015,2016,10,10,DEC,DEC,2017-03-14 01:00:03,2017,3,MAR,81
158,1770830,NY,Corn Farming,9,5/21/2014,11/1/2015,9,4011.1,8,900.0,2016-06-11 02:22:25 EDT,2014,2015,5,11,JUN,DEC,2016-06-11 02:22:25,2016,6,JUN,87
174,1762079,MS,Berry (except Strawberry) Farming,7,5/1/2014,6/11/2015,7,0.0,0,3150.0,2016-02-19 01:00:04 EST,2014,2015,5,6,JUN,JUN,2016-02-19 01:00:04,2016,2,MAR,16
910,1518046,SC,Other Noncitrus Fruit Farming,36,6/19/2008,6/19/2008,36,0.0,0,0.0,2015-02-20 01:00:06 EST,2008,2008,6,6,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,14
1434,1689982,GA,Farm Labor Contractors and Crew Leaders,6,11/5/2012,4/25/2013,6,0.0,0,1800.0,2016-02-19 01:00:04 EST,2012,2013,11,4,DEC,JUN,2016-02-19 01:00:04,2016,2,MAR,50
1721,1702293,MI,Landscape Architectural Services,30,8/22/2011,8/20/2013,29,111901.86,28,0.0,2016-02-19 01:00:04 EST,2011,2013,8,8,SEP,SEP,2016-02-19 01:00:04,2016,2,MAR,37
2089,1722071,AL,Nursery and Floriculture Production,4,3/15/2012,3/13/2014,2,0.0,0,900.0,2016-02-19 01:00:04 EST,2012,2014,3,3,MAR,MAR,2016-02-19 01:00:04,2016,2,MAR,22
2423,1745990,LA,Sugarcane Farming,7,3/18/2013,11/29/2014,7,506.3,6,1800.0,2016-02-19 01:00:04 EST,2013,2014,3,11,MAR,DEC,2016-02-19 01:00:04,2016,2,MAR,19
2516,1518043,SC,Other Noncitrus Fruit Farming,12,1/1/2007,6/30/2008,12,252.42,12,0.0,2015-02-20 01:00:06 EST,2007,2008,1,6,MAR,JUN,2015-02-20 01:00:06,2015,2,MAR,14
2818,1385778,ID,Sheep Farming,3,11/15/2002,11/12/2004,3,0.0,0,3000.0,2015-02-20 01:00:06 EST,2002,2004,11,11,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,5
2904,1513764,NY,Nursery and Tree Production,23,2/4/2008,7/29/2008,22,0.0,0,0.0,2015-02-20 01:00:06 EST,2008,2008,2,7,MAR,SEP,2015-02-20 01:00:06,2015,2,MAR,87
2905,1513766,NY,Other Food Crops Grown Under Cover,29,8/1/2007,6/25/2008,26,0.0,0,0.0,2015-02-20 01:00:06 EST,2007,2008,8,6,SEP,JUN,2015-02-20 01:00:06,2015,2,MAR,87
2915,1515300,KY,Tobacco Farming,17,6/6/2006,6/5/2008,15,0.0,0,1650.0,2015-02-20 01:00:06 EST,2006,2008,6,6,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,14
2964,1437944,AR,Other Vegetable (except Potato) and Melon Farming,78,6/1/2006,9/15/2006,77,7961.25,53,0.0,2015-02-20 01:00:06 EST,2006,2006,6,9,JUN,SEP,2015-02-20 01:00:06,2015,2,MAR,16
3095,1518279,VA,Tobacco Farming,13,7/9/2006,7/6/2008,13,0.0,0,0.0,2015-02-20 01:00:06 EST,2006,2008,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,24
3415,1517350,NJ,Nursery and Floriculture Production,12,7/25/2006,7/24/2008,12,3826.8,12,0.0,2015-02-20 01:00:06 EST,2006,2008,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,35
3731,1510032,VA,Other Vegetable (except Potato) and Melon Farming,9,5/26/2006,5/16/2008,8,0.0,0,0.0,2015-02-20 01:00:06 EST,2006,2008,5,5,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,24
3738,1510042,VA,"Nursery, Garden Center, and Farm Supply Stores",9,5/30/2006,5/13/2008,9,1005.29,3,0.0,2015-02-20 01:00:06 EST,2006,2008,5,5,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,24
3739,1510045,VA,All Other Miscellaneous Crop Farming,2,5/6/2006,4/26/2008,2,0.0,0,0.0,2015-02-20 01:00:06 EST,2006,2008,5,4,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,24
